ID,Sehir,Yas Durumu,Koruma Karari,Oldurme Nedeni,Katil,Olum Sekli,Katilin Durumu,Yil
571, Tokat , Resit ,   Yok ,Reddedilme,Sevgilisi,Atesli Silah, Tutuklu ,2016.0
572, Tokat , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2016.0
573, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2016.0
574, Trabzon , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016.0
575, Tunceli , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Tespit Edilemeyen,2016.0
576, Tunceli , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2016.0
577, Tunceli ,Resit,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma,Bilinmiyor,2016.0
578, Van , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Araniyor ,2016.0
579, Yalova , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2016.0
580, Yozgat , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Intihar ,2016.0
581, Zonguldak , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016.0
582, Adana , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2017.0
583, Adana , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2017.0
584, Ankara , Resit ,   Yok ,Reddedilme,Kocasi,Kesici Alet, Tutuklu ,2017.0
585, Ankara , Resit ,   Yok ,Kizini Korurken,Damadi,Atesli Silah, Araniyor ,2017.0
586, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Darp, Tutuklu ,2017.0
587, Adana , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017.0
588, Balikesir , Resit Degil ,   Yok ,Maganda Kursunu,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2017.0
589, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Tespit Edilemeyen,2017.0
590, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017.0
591, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017.0
592, Nevsehir , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Kesici Alet, Tutuklu ,2017.0
593, Samsun , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2017.0
594, Samsun , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017.0
595, Samsun , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017.0
596, Samsun , Resit ,   Yok ,Tartisma,Babasi,Atesli Silah, Tutuklu ,2017.0
597, Samsun , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tutuklu ,2017.0
598, Adana , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017.0
599, Antalya , Resit ,   Yok ,Kiskanclik,Kocasi,Bogulma, Tutuklu ,2017.0
600, Bursa ,Resit,   Yok ,Namus,Damadi,Atesli Silah,Bilinmiyor,2017.0
601, Eskisehir , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Intihar ,2017.0
602, Hatay , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2017.0
603, Adana , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017.0
604, Adana , Resit ,   Yok ,Kiz Kardesini Korurken,Enistesi,Atesli Silah, Tutuklu ,2017.0
605, Diyarbakir , Resit ,   Var ,Bosanma Talebi ,Kocasi,Atesli Silah, Tutuklu ,2017.0
606, Eskisehir , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017.0
607, Istanbul ,Resit,   Yok ,Seri Cinayet,Seri Katil,Iskence,Bilinmiyor,2017.0
608, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Tutuklu ,2017.0
609, Istanbul , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2017.0
610, Kayseri , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017.0
611, Manisa , Resit ,   Yok ,Kiskanclik,Kocasi,Darp, Tutuklu ,2017.0
612, Tunceli ,Resit,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,Sevgilisi,Atesli Silah,Bilinmiyor,2017.0
613, Adana , Resit ,   Yok  ,Tartisma,Torunu,Atesli Silah, Tutuklu ,2017.0
614, Eskisehir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017.0
615, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017.0
616, Izmir ,Resit,   Tespit Edilemeyen ,Tespit Edilemeyen,Kocasi,Kesici Alet,Bilinmiyor,2017.0
617, Kayseri , Resit ,   Yok ,Reddedilme,Sevgilisi,Atesli Silah, Intihar ,2017.0
618, Kayseri ,Resit,   Yok ,Kiskanclik,Kocasi,Kesici Alet,Bilinmiyor,2017.0
619, Nigde , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2017.0
620, Ankara , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Sorusturma Suruyor,2017.0
621, Balikesir , Resit ,   Yok ,Aldatma,Kocasi,Kesici Alet, Tutuklu ,2017.0
622, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Babasi,Atesli Silah, Tutuklu ,2017.0
623, Bursa , Resit ,   Yok ,Tartisma,Eski Sevgilisi,Kesici Alet, Tutuklu ,2017.0
624, Istanbul , Resit ,   Yok ,Reddedilme ,Kocasi,Kesici Alet, Tutuklu ,2017.0
625, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017.0
626, Kayseri , Resit ,   Yok ,Kiskanclik,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017.0
627, Manisa , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Atesli Silah, Intihar ,2017.0
628, Nigde , Resit ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017.0
629, Samsun ,Resit,   Tespit Edilemeyen ,Kiskanclik,Kocasi,Kesici Alet,Bilinmiyor,2017.0
630, Ukrayna , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2017.0
631, Ukrayna , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2017.0
632, Ankara , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2017.0
633, Ankara ,Resit,   Yok,Kadin hayatina dair bir karar vermek istedigi icin,Tanidigi Birisi,Iskence,Bilinmiyor,2017.0
634, Ankara , Resit ,   Yok ,Tartisma,Eski Sevgilisi,Kesici Alet, Tutuklu ,2017.0
635, Antalya , Resit ,   Yok ,Kendi Hayatina Karar Vermek istedigi Icin,Eski Kocasi,Kesici Alet, Tutuklu ,2017.0
636, Balikesir ,Resit,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,Babasi,Darp,Bilinmiyor,2017.0
637, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma,Sorusturma Suruyor ,2017.0
638, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma,Sorusturma Suruyor ,2017.0
639, Kayseri , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017.0
640, Nigde , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah,Tutuklu ,2017.0
641, Samsun , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Sorusturma Suruyor ,2017.0
642, Sanliurfa ,Resit,   Tespit Edilemeyen ,Kriz ve Issizlik,Kocasi,Atesli Silah,Bilinmiyor,2017.0
643, Adana , Resit ,   Yok ,Tartisma,Abisi,Kesici Alet, Tutuklu ,2017.0
644, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017.0
645, Balikesir , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017.0
646, Bursa ,Resit,   Tespit Edilemeyen ,Para,Is Arkadasi,Atesli Silah,Bilinmiyor,2017.0
647, Bursa , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Atesli Silah, Intihar ,2017.0
648, Diyarbakir , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017.0
649, Istanbul , Resit ,   Yok ,Kiskanclik,Sevgilisi,Bogulma, Tutuklu ,2017.0
650, Izmir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017.0
651, Kayseri , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Araniyor ,2017.0
652, Samsun , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017.0
653, Balikesir , Resit Degil ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017.0
654, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017.0
655, Istanbul ,Resit,   Tespit Edilemeyen ,Para,Arkadasi,Iskence,Bilinmiyor,2017.0
656, Izmir , Resit ,   Yok ,Tartisma,Akrabasi,Atesli Silah, Intihar ,2017.0
657, Kayseri , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Tutuklu ,2017.0
658, Manisa , Resit ,   Yok ,Tartisma,Kocasi,Darp, Tutuklu ,2017.0
659, Nigde , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017.0
660, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2017.0
661, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edlemeyen,Atesli Silah, Sorusturma Suruyor ,2017.0
662, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2017.0
663, Eskisehir , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Tespit Edilemeyen, Tutuklu ,2017.0
664, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2017.0
665, Hatay , Resit ,   Yok ,Reddedilme,Eski Kocasi,Atesli Silah,Tespit Edilemeyen,2017.0
666, Hatay ,Resit,   Yok ,Namus,Tespit Edilemeyen,Atesli Silah,Bilinmiyor,2017.0
667, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2017.0
668, Hatay , Resit ,   Yok ,Reddedilme,Akrabasi,Atesli Silah, Tutuklu ,2017.0
669, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Damadi,Atesli Silah, Tutuklu ,2017.0
670, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2017.0
671, Kayseri , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017.0
672, Kayseri , Resit ,   Var ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2017.0
673, Konya , Resit ,   Var ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017.0
674, Konya , Resit ,   Yok ,Tartisma,Arkadasi,Kesici Alet, Tutuklu ,2017.0
675, Manisa , Resit ,   Yok ,Hirsizlik,Tanimadigi Birisi,Darp, Tutuklu ,2017.0
676, Manisa , Resit ,   Yok ,Tartisma,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2017.0
677, Manisa , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Darp, Tutuklu ,2017.0
678, Manisa , Resit ,   Yok ,Reddedilme,Eski Kocasi,Atesli Silah, Araniyor ,2017.0
679, Ankara , Resit ,   Yok ,Tartisma,Tespit Edilemeyen,Atesli Silah,Tespit Edilemeyen,2017.0
680, Antalya , Resit Degil ,   Yok ,Tartisma,Babasi,Atesli Silah, Intihar ,2017.0
681, Bartin , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2017.0
682, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Kesici Alet, Tutuklu ,2017.0
683, Hatay , Resit ,   Yok ,Tartisma,Kayinpederi,Atesli Silah, Tutuklu ,2017.0
684, Hatay , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Sorusturma Suruyor,2017.0
685, Istanbul ,Resit,   Yok ,Ayrilik,Eski Kocasi,Yuksekten Dusme,Bilinmiyor,2017.0
686, Konya , Resit ,   Yok  ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017.0
687, Konya , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2017.0
688, Istanbul , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2017.0
689, Adana ,Resit,   Tespit Edilemeyen ,Kriz ve Issizlik,Erkek Kardesi,Kesici Alet,Bilinmiyor,2017.0
690, Adana , Resit ,   Yok ,Eve Gec Gelmesi,Babasi,Atesli Silah, Tutuklu ,2017.0
691, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2017.0
692, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017.0
693, Bursa , Resit ,   Yok ,Para,Tanidigi Birisi,Kesici Alet, Tutuklu ,2017.0
694, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017.0
695, Istanbul , Resit ,   Yok ,Aldatilma Suphesi,Erkek Kardesi,Tespit Edilemeyen, Tutuklu ,2017.0
696, Istanbul , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Tutuklu ,2017.0
697, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2017.0
698, Izmir , Resit ,   Yok ,Bakimsiz Olmasi,Kocasi,Darp, Tutuklu ,2017.0
699, Izmir , Resit ,   Yok ,Kizini Korurken,Kizinin Eski Sevgilisi,Kesici Alet, Tutuklu ,2017.0
700, Izmir , Resit ,   Yok ,Tartisma,Eski Sevgilisi,Atesli Silah, Intihar ,2017.0
701, Izmir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017.0
702, Izmir , Resit ,   Yok ,Tartisma,Eski Kocasi,Kesici Alet, Tutuklu ,2017.0
703, Kayseri , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2017.0
704, Kayseri , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017.0
705, Kayseri , Resit ,   Yok ,Alzheimer Hastasi Oldugu Icin,Kocasi,Bogulma, Tutuklu ,2017.0
706, Sanliurfa , Resit ,   Yok ,Tartisma,Babasi,Bogulma, Tutuklu ,2017.0
707, Igdir , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Araniyor ,2017.0
708, Sinop , Resit ,   Yok ,Kaza,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2017.0
709, Sirnak , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017.0
710, Adana , Resit ,   Yok ,Tartisma,Eski Kocasi,Atesli Silah, Tutuklu ,2018.0
711, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2018.0
712, Adana , Resit ,   Yok ,Bosanma Talebi,Kocasi,Vurucu Alet, Tutuklu ,2018.0
713, Adana , Resit ,   Yok ,Tartisma,Oglu,Darp, Tutuklu ,2018.0
714, Adana , Resit Degil ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Darp,Sorusturma Suruyor,2018.0
715, Adana , Resit  ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2018.0
716, Adana , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2018.0
717, Adana , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Iskence, Sorusturma Suruyor ,2018.0
718, Afyonkarahisar , Resit Degil ,   Yok ,Tartisma,Abisi,Darp, Tutuklu ,2018.0
719, Amasya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2018.0
720, Ankara , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2018.0
721, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Kesici Alet, Tutuklu ,2018.0
722, Ankara , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Araniyor ,2018.0
723, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Tutuklu ,2018.0
724, Ankara , Resit ,   Yok ,Kadin hayatina dair bir karar vermek istedigi icin,Sevgilisi,Darp, Tutuklu ,2018.0
725, Ankara , Resit ,   Var ,Tartisma,Kocasi,Atesli Silah, Intihar ,2018.0
726, Antalya , Resit ,   Yok ,Para,Kocasi,Zehir, Intihar ,2018.0
727, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2018.0
728, Antalya , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Araniyor ,2018.0
729, Antalya ,Resit,   Tespit Edilemeyen ,Bosanma,Eski Kocasi,Kesici Alet,Bilinmiyor,2018.0
730, Artvin , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2018.0
731, Aydin ,Resit,   Yok ,Reddedilme,Tanimadigi Birisi,Iskence,Bilinmiyor,2018.0
732, Aydin ,Resit,   Yok ,Bosanma,Kocasi,Atesli Silah,Bilinmiyor,2018.0
733, Aydin , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2018.0
734, Aydin , Resit ,   Yok ,Tartisma ,Eski Sevgilisi,Atesli Silah, Tutuklu ,2018.0
735, Aydin ,Resit,   Tespit Edilemeyen ,Kiskanclik,Sevgilisi,Atesli Silah,Bilinmiyor,2018.0
736, Balikesir , Resit ,   Yok ,Tartisma,Oglu,Bogulma, Tutuklu ,2018.0
737, Balikesir ,Resit,   Tespit Edilemeyen ,Ayrilik,Sevgilisi,Atesli Silah,Bilinmiyor,2018.0
738, Batman , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2018.0
739, Mugla , Resit ,   Yok ,Tartisma,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2018.0
740, Burdur , Resit Degil ,   Yok ,Tespit Edilemeyen,Sevgilisi,Kesici Alet, Tutuklu ,2018.0
741, Bursa ,Resit,   Yok ,Ayrilik,Kocasi,Iskence,Bilinmiyor,2018.0
742, Bursa , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Araniyor ,2018.0
743, Bursa , Resit ,   Yok ,Tartisma,Nisanlisi,Darp, Tutuklu ,2018.0
744, Bursa ,Resit,   Yok ,Organ Mafyasi,Tespit Edilemeyen,Iskence,Bilinmiyor,2018.0
745, Bursa , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Kesici Alet, Tutuklu ,2018.0
746, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Kesici Alet, Tutuklu ,2018.0
747, Corlu , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2018.0
748, Denizli , Resit ,   Var ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2018.0
749, Denizli , Resit ,   Yok ,Tecavuz,Tanimadigi Birisi,Bogulma, Tutuklu ,2018.0
750, Denizli , Resit Degil ,   Yok ,Tartisma,Babasi,Bogulma, Intihar ,2018.0
751, Denizli , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2018.0
752, Tunceli , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2018.0
753, Diyarbakir , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2018.0
754, Diyarbakir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2018.0
755, Edirne , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Darp, Tutuklu ,2018.0
756, Elazig ,Resit,   Tespit Edilemeyen ,Bosanma,Babasi,Atesli Silah,Bilinmiyor,2018.0
757, Erzurum , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2018.0
758, Mugla, Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Darp, Intihar ,2018.0
759, Gaziantep , Resit ,   Yok ,Tartisma,Kocasi,Darp, Tutuklu ,2018.0
760, Giresun , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Sorusturma Suruyor,2018.0
761, Hatay , Resit ,   Yok ,Tartisma,Oglu,Atesli Silah, Intihar ,2018.0
762, Isparta , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tutuklu ,2018.0
763, Isparta , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tutuklu ,2018.0
764, Isparta , Resit ,   Yok ,Tartisma,Sevgilisi,Darp, Tutuklu ,2018.0
765, Isparta , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Tutuklu ,2018.0
766, Isparta , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Kesici Alet, Tutuklu ,2018.0
767, Istanbul , Resit ,   Yok ,Aldatilma Suphesi,Kocasi,Atesli Silah, Tutuklu ,2018.0
768, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2018.0
769, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Zehir, Intihar ,2018.0
770, Istanbul , Resit Degil ,   Yok ,Tespit Edilemeyen,Abisi,Kesici Alet, Tutuklu ,2018.0
771, Istanbul , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2018.0
772, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2018.0
773, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2018.0
774, Istanbul , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2018.0
775, Istanbul , Resit ,   Yok ,Hasta Oldugu Icin ,Babasi,Atesli Silah, Tutuklu ,2018.0
776, Istanbul , Resit ,   Yok ,Reddedilme,Eski Sevgilisi,Atesli Silah, Tutuklu ,2018.0
777, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Atesli Silah, Tutuklu ,2018.0
778, Istanbul , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Kesici Alet, Tutuklu ,2018.0
779, Istanbul ,Resit,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah,Bilinmiyor,2018.0
780, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Tutuklu ,2018.0
781, Istanbul , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Kocasi,Tespit Edilemeyen, Araniyor ,2018.0
782, Istanbul , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2018.0
783, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2018.0
784, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Kesici Alet, Tutuklu ,2018.0
785, Istanbul , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Yakilma, Tutuklu ,2018.0
786, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Bogulma, Tutuklu ,2018.0
787, Istanbul , Resit ,   Yok ,Para,Tanidigi Birisi,Bogulma, Tutuklu ,2018.0
788, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2018.0
789, Istanbul , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2018.0
790, Izmir ,Resit,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,Erkek Kardesi,Kesici Alet,Bilinmiyor,2018.0
791, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Bogulma, Tutuklu ,2018.0
792, Izmir , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2018.0
793, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Enistesi,Atesli Silah, Intihar ,2018.0
794, Izmir , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2018.0
795, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Iskence, Sorusturma Suruyor ,2018.0
796, Izmir ,Resit,   Var ,Bosanma,Kocasi,Iskence,Bilinmiyor,2018.0
797, Izmir , Resit ,   Yok ,Reddedilme,Tanidigi BIrisi,Kesici Alet, Tutuklu ,2018.0
798, Izmir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2018.0
799, Izmir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2018.0
800, Izmir , Resit ,   Yok ,Tartisma,Oglu,Atesli Silah, Intihar ,2018.0
801, Kocaeli , Resit ,   Yok ,Hirsizlik,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2018.0
802, Kocaeli , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2018.0
803, Kocaeli , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2018.0
804, Kahramanmaras , Resit ,   Yok ,Tespit Edilemeyen,Akrabasi,Atesli Silah, Tutuklu ,2018.0
805, Kahramanmaras ,Resit,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,Erkek Kardesi,Atesli Silah,Bilinmiyor,2018.0
