ID,Sehir,Yas Durumu,Koruma Karari,Oldurme Nedeni,Katil,Olum Sekli,Katilin Durumu,Yil
180, Mugla , Resit ,   Yok ,Kaza,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2012.0
181, Hatay , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2012.0
182, Hatay , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2012.0
183, Hatay ,Resit,  Tespit Edilemeyen,Bosanma,Ailesi,Atesli Silah,Bilinmiyor,2012.0
184, Istanbul , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2012.0
185, Afyonkarahisar , Resit ,   Yok ,Nefret,Tanimadigi Birisi,Kesici Alet, Tutuklu ,2013.0
186, Afyonkarahisar , Resit ,   Yok ,Tartisma,Sevgilisi,Darp, Tutuklu ,2013.0
187, Aksaray , Resit ,   Var ,Tartisma,Kocasi,Atesli Silah, Araniyor ,2013.0
188, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Atesli Silah, Intihar ,2013.0
189, Sakarya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2013.0
190, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Asma, Tespit Edilemeyen,2013.0
191, Ankara , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,2013.0
192, Ankara , Resit ,   Var ,Para,Sevgilisinin Oglu,Atesli Silah, Araniyor ,2013.0
193, Igdir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yakilma, Tespit Edilemeyen,2013.0
194, Batman , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2013.0
195, Burdur , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2013.0
196, Burdur , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2013.0
197, Corum , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2013.0
198, Denizli  , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Kesici Alet, Intihar ,2013.0
199, Diyarbakir , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2013.0
200, Erzurum , Resit ,   Yok ,Kiskanclik,Akrabasi,Atesli Silah, Tutuklu ,2013.0
201, Mugla , Resit ,   Yok ,Tartisma,Kayinpederi,Atesli Silah, Tutuklu ,2013.0
202, Igdir , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2013.0
203, Isparta , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2013.0
204, Isparta , Resit ,   Yok ,Tartisma ,Tanidigi Birisi,Atesli Silah, Tutuklu ,2013.0
205, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Atesli Silah, Sorusturma Suruyor ,2013.0
206, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Kesici Alet, Tutuklu ,2013.0
207, Istanbul , Resit ,   Yok ,Reddedilme,Sevgilisi,Atesli Silah, Tutuklu ,2013.0
208, Istanbul , Resit ,   Var,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2013.0
209, Istanbul , Resit ,   Yok ,Reddedilme,Sevgilisi,Tespit Edilemeyen, Tutuklu ,2013.0
210, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Kesici Alet, Tutuklu ,2013.0
211, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Darp, Tutuklu ,2013.0
212, Istanbul ,Resit,   Yok ,Bosanma,Kocasi,Atesli Silah,Bilinmiyor,2013.0
213, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Damadi,Atesli Silah, Tutuklu ,2013.0
214, Istanbul , Resit ,   Yok ,Tartisma,Tanimadigi Birisi,Bogulma, Tutuklu ,2013.0
215, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Tutuklu ,2013.0
216, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Darp, Tutuklu ,2013.0
217, Istanbul , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2013.0
218, Istanbul ,Resit,   Tespit Edilemeyen ,Namus,Erkek Kardesi,Atesli Silah,Bilinmiyor,2013.0
219, Istanbul , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Sorusturma Suruyor ,2013.0
220, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2013.0
221, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Darp, Tutuklu ,2013.0
222, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Sorusturma Suruyor ,2013.0
223, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Darp, Sorusturma Suruyor ,2013.0
224, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Sorusturma Suruyor ,2013.0
225, Kayseri , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Kesici Alet, Intihar ,2013.0
226, Kirikkale , Resit ,   Yok ,Tartisma,Eski Kocasi,Kesici Alet, Tutuklu ,2013.0
227, Kirklareli , Resit ,   Yok ,Tartisma ,Yegeni,Darp, Tutuklu ,2013.0
228, Kocaeli , Resit ,   Yok ,Kizini Korurken,Damadi,Atesli Silah, Intihar ,2013.0
229, Kocaeli , Resit ,   Yok ,Kaza,Kocasi,Tazyikli Su, Sorusturma Suruyor ,2013.0
230, Kocaeli , Resit ,   Yok ,Tartisma ,Kocasi,Kesici Alet, Tutuklu ,2013.0
231, Kocaeli , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Darp, Tutuklu ,2013.0
232, Kocaeli ,Resit,   Yok ,Bosanma,Eski Kocasi,Atesli Silah,Bilinmiyor,2013.0
233, Konya , Resit ,   Yok ,Kiskanclik,Sevgilisi,Atesli Silah, Tutuklu ,2013.0
234, Konya , Resit ,   Var ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2013.0
235, Canakkale , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2013.0
236, Manisa , Resit ,   Yok ,Tartisma,Eski Kocasi,Atesli Silah, Tutuklu ,2013.0
237, Mardin , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Araniyor ,2013.0
238, Mardin , Resit ,   Yok ,Tespit Edilemeyen,Damadi,Atesli Silah, Araniyor ,2013.0
239, Mardin , Resit ,   Yok ,Tartisma,Damadi,Atesli Silah, Tutuklu ,2013.0
240, Mersin , Resit ,   Yok ,Tartisma,Oglu,Atesli Silah, Tutuklu ,2013.0
241, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2013.0
242, Mersin , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Sorusturma Suruyor ,2013.0
243, Mersin , Resit ,   Yok ,Tartisma,Eski Sevgilisi,Kesici Alet, Araniyor ,2013.0
244, Mersin ,                                                                       Resit ,Yok,Tespit Edilemeyen,Sevgilisi,Tespit Edilemeyen, Tutuklu ,2013.0
245, Mugla , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Tutuklu ,2013.0
